RT	Mass	Rank	DistFromMS2	noise	SWpval	derivChanges	zeroCounts	maxInt	rtWindow	kurtosis	skew	outsideInt	DistToInflPtL2R	DistToInflPtR2L
2046.23	2049.78	0	13.33551806	0	4.14E-06	2	2	23189.99805	5.52	5.166666667	1.619847741	0	1	1
2055.19	2060.86	0	25.14689034	0	4.14E-06	2	2	6409.491699	8.48	5.166666667	1.619847741	0	1	1
2066.82	2072.29	0	18.7007671	1	4.14E-06	2	2	31316.19531	10.18	5.166666667	1.619847741	3636.18099	1	1
2068.43	2076.61	0	21.44616678	0	0.001006707	4	2	66679.85938	10.71	2.746646187	0.97427089	0	0.375	0.375
2072.61	2079.47	0	26.79973739	2	0.000742875	2	2	35006.44531	10.61	3.867760847	1.232661153	7229.894287	0.375	0.375
2068.54	2074.75	0	12.02826983	1	7.11E-05	2	2	51918.67969	10.94	2.336097669	0.945695883	6430.242746	0.857142857	0.857142857
2070.53	2076.61	0	17.77725139	1	0.000127923	2	2	52343.72656	10.09	2.474620286	0.975233112	4834.492188	0.857142857	0.857142857
2082.18	2086.59	0	24.51040887	0	4.14E-06	2	2	24122.46094	10.66	5.166666667	1.619847741	0	1	1
2097.65	2100.51	0	15.95519215	0	4.14E-06	2	2	10914.71387	7.88	5.166666667	1.619847741	0	1	1
2069.47	2073.99	0	17.21046546	0	4.14E-06	2	2	18453.86133	8.43	5.166666667	1.619847741	0	1	1
2104.11	2108.8	0	17.60341424	1	0.000716861	4	3	21185.12891	16.02	3.28353715	1.050255374	954.3820313	0.3	0.3
2108.36	2112.9	0	6.192685957	0	4.14E-06	2	2	17962.29492	9.67	5.166666667	1.619847741	0	1	1
2125.68	2129.28	0	3.440220246	0	4.14E-06	2	2	13360.77051	8.58	5.166666667	1.619847741	0	1	1
2132.15	2136.84	0	2.849200508	2	4.14E-06	2	2	17740.71875	8.97	5.166666667	1.619847741	2423.200114	1	1
2124.06	2134.18	0	16.52007116	0	3.27E-05	4	3	24775.35547	15.25	2.226709831	0.928786934	0	0.8	0.8
2179.84	2185.11	0	17.57306867	0	4.14E-06	2	2	16546.55469	9.35	5.166666667	1.619847741	0	1	1
2143.32	2148.59	0	15.42817128	0	4.14E-06	2	2	13846.40039	8.97	5.166666667	1.619847741	0	1	1
2105.46	2110.33	0	22.93242712	0	4.14E-06	2	2	16014.63574	8.5	5.166666667	1.619847741	0	1	1
2115.37	2123.13	0	5.28034821	0	3.90E-05	4	3	25484.06641	12.26	3.20182286	1.202011148	0	0.375	0.375
2127.17	2131.09	0	9.899631512	0	4.14E-06	2	2	46056.46094	8.55	5.166666667	1.619847741	0	1	1
2140.1	2145.34	0	2.782258883	0	4.14E-06	2	2	6064.884766	7.88	5.166666667	1.619847741	0	1	1
